type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
SP,24,Lindsay van ZUNDERT,NED,57.72,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,34,Dasa GRM,SLO,47.76,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,25,Alexia PAGANINI,SUI,57.23,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,26,Kailani CRAINE,AUS,56.86,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,27,Emily BAUSBACK,CAN,55.74,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,28,Lara Naki GUTMANN,ITA,55.64,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,29,Emmy MA,TPE,55.63,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,30,Julia LANG,HUN,54.2,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,23,Natasha McKAY,GBR,58.15,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,15,Josefin TALJEGARD,SWE,61.58,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,31,Nelli IOFFE,ISR,52.43,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,32,Ekaterina KURAKOVA,POL,52.28,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,33,Angelina KUCHVALSKA,LAT,47.94,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,22,Hongyi CHEN,CHN,58.81,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,21,Eliska BREZINOVA,CZE,58.81,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,20,Nicole SCHOTT,GER,59.09,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,19,Eva-Lotta KIIBUS,EST,59.65,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,18,Alina URUSHADZE,GEO,59.89,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,16,Satoko MIYAHARA,JPN,59.99,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,14,Jenni SAARINEN,FIN,63.54,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,13,Ekaterina RYABOVA,AZE,64.11,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,35,Anastasiia ARKHIPOVA,UKR,45.07,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,15,Daniel GRASSL,ITA,79.43,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,12,Alexandra TRUSOVA,FSR,64.82,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,11,Olga MIKUTINA,AUT,67.18,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,10,Loena HENDRICKX,BEL,67.28,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,9,Madeline SCHIZAS,CAN,68.77,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,17,Alexandra FEIGIN,BUL,59.97,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,14,Deniss VASILJEVS,LAT,81.22,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,27,Vladimir LITVINTSEV,AZE,68.43,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,26,Paul FENTZ,GER,68.43,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,2,Yuma KAGIYAMA,JPN,190.81,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,8,Haein LEE,KOR,68.94,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,25,Vincent ZHOU,USA,70.51,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,24,Aleksandr SELEVKO,EST,70.74,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,23,Donovan CARRILLO,MEX,73.91,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,22,Ivan SHMURATKO,UKR,73.98,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,21,Morisi KVITELASHVILI,GEO,74.66,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,20,Nikolaj MAJOROV,SWE,75.59,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,19,Boyang JIN,CHN,77.95,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,18,Alexei BYCHENKO,ISR,78.05,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,13,Michal BREZINA,CZE,81.43,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,16,Konstantin MILYUKOV,BLR,78.86,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,36,Emilea ZINGAS,CYP,43.2,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,12,Han YAN,CHN,81.52,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,11,Matteo RIZZO,ITA,83.3,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,10,Evgeni SEMENENKO,FSR,86.86,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,9,Kevin AYMOZ,FRA,88.24,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,8,Junhwan CHA,KOR,91.15,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,7,Jason BROWN,USA,91.25,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,6,Shoma UNO,JPN,92.62,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,5,Keegan MESSING,CAN,93.51,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,4,Mikhail KOLYADA,FSR,93.52,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,3,Nathan CHEN,USA,98.85,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,2,Yuma KAGIYAMA,JPN,100.96,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,1,Yuzuru HANYU,JPN,106.98,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,37,Elzbieta KROPA,LTU,41.31,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,17,Lukas BRITSCHGI,SUI,78.27,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,11,Matteo RIZZO,ITA,162.07,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,24,Jenni SAARINEN,FIN,83,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,21,Hongyi CHEN,CHN,103.98,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
